title,author,price,price (including used books),pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link,complete_link
"Listening to People: A Practical Guide to Interviewing, Participant Observation, Data Analysis, and Writing It All Up (Chicago Guides to Writing, Editing, and Publishing)",,20,20,333,4.5,46,73%,13%,7%,3%,3%,6 x 0.9 x 9 inches,1.01 pounds,English,"University of Chicago Press (October 15, 2021)",978-0226806433,/Listening-People-Interviewing-Participant-Observation/dp/022680643X/ref=sr_1_59?keywords=data+analysis&qid=1671164640&sr=8-59,https://www.amazon.com/Listening-People-Interviewing-Participant-Observation/dp/022680643X/ref=sr_1_59?keywords=data+analysis&qid=1671164640&sr=8-59
SQL for Data Analytics: Perform efficient and fast data analysis with the power of SQL,[ Chad Knowles],15.97,15.97,106,4.9,201,91%,8%,1%,,,6 x 0.24 x 9 inches,7.5 ounces,English,"Independently published (September 21, 2022)",979-8354008353,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0492571P7LVKSU93F2O&qualifier=1671164640&id=6357489869092693&widgetName=sp_mtf&url=%2FSQL-Data-Analytics-efficient-analysis%2Fdp%2FB0BG5JN89K%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164640%26sr%3D8-17-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0492571P7LVKSU93F2O&qualifier=1671164640&id=6357489869092693&widgetName=sp_mtf&url=%2FSQL-Data-Analytics-efficient-analysis%2Fdp%2FB0BG5JN89K%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164640%26sr%3D8-17-spons%26psc%3D1
Python for Beginners: 2 Books in 1: The Perfect Beginner's Guide to Learning How to Program with Python with a Crash Course + Workbook,"[ Programming Languages Academy, Matthew Kinsey, et al.]",,,,4.4,292,63%,22%,7%,3%,4%,,,,,,/Python-Beginners-Perfect-Learning-Workbook/dp/B084VHN9M6/ref=sr_1_59?keywords=python&qid=1671164641&sr=8-59,https://www.amazon.com/Python-Beginners-Perfect-Learning-Workbook/dp/B084VHN9M6/ref=sr_1_59?keywords=python&qid=1671164641&sr=8-59
"Data Analytics, Data Visualization & Communicating Data: 3 books in 1: Learn the Processes of Data Analytics and Data Science, Create Engaging Data ... Present Data Effectively (All Things Data)",,28.6,28.6,528,4.6,20,81%,11%,7%,,,6 x 1.19 x 9 inches,1.93 pounds,English,"Kenneth M Fornari (November 10, 2022)", ,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A099800857YLNLKS5F3Q&qualifier=1671164640&id=6357489869092693&widgetName=sp_atf&url=%2FData-Analytics-Visualization-Communicating-Effectively%2Fdp%2F1777967198%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164640%26sr%3D8-1-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A099800857YLNLKS5F3Q&qualifier=1671164640&id=6357489869092693&widgetName=sp_atf&url=%2FData-Analytics-Visualization-Communicating-Effectively%2Fdp%2F1777967198%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164640%26sr%3D8-1-spons%26psc%3D1
Getting Started with Natural Language Processing,[ Ekaterina Kochmar],39.99,39.99,456,4,4,48%,52%,,,,7.38 x 1.1 x 9.25 inches,1.75 pounds,English,"Manning (October 18, 2022)", ,/Getting-Started-Natural-Language-Processing/dp/1617296767/ref=sr_1_60?keywords=python&qid=1671164641&sr=8-60,https://www.amazon.com/Getting-Started-Natural-Language-Processing/dp/1617296767/ref=sr_1_60?keywords=python&qid=1671164641&sr=8-60
"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL",[ Walter Shields],24.99,24.99,249,4.6,"1,358",72%,18%,7%,1%,2%,7.5 x 0.57 x 9.25 inches,15.5 ounces,English,"ClydeBank Media LLC; Illustrated edition (November 18, 2019)",978-1945051753,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00592412L7KU7OYRNUNP&qualifier=1671164640&id=6357489869092693&widgetName=sp_mtf&url=%2FSQL-QuickStart-Guide-Simplified-Manipulating%2Fdp%2F1945051752%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164640%26sr%3D8-18-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00592412L7KU7OYRNUNP&qualifier=1671164640&id=6357489869092693&widgetName=sp_mtf&url=%2FSQL-QuickStart-Guide-Simplified-Manipulating%2Fdp%2F1945051752%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164640%26sr%3D8-18-spons%26psc%3D1
Monty Python And The Holy Grail,,,,,,,,,,,,,,,,,/Monty-Python-Grail-Graham-Chapman/dp/B07PGCJM9V/ref=sr_1_54?keywords=python&qid=1671164641&sr=8-54,https://www.amazon.com/Monty-Python-Grail-Graham-Chapman/dp/B07PGCJM9V/ref=sr_1_54?keywords=python&qid=1671164641&sr=8-54
Python in easy steps,,10.69,10.69,192,4.6,386,74%,14%,8%,2%,2%,7.25 x 0.5 x 9 inches,15.2 ounces,English,"In Easy Steps Limited; 2nd edition (August 28, 2018)",978-1840788129,/Python-easy-steps-Covers-3-7/dp/1840788127/ref=sr_1_58?keywords=python&qid=1671164641&sr=8-58,https://www.amazon.com/Python-easy-steps-Covers-3-7/dp/1840788127/ref=sr_1_58?keywords=python&qid=1671164641&sr=8-58
Python para Principiantes: 2 Libros en 1: Programación de Python para principiantes + Libro de trabajo de Python (Spanish Edition),[ Programming Languages Academy],19.38,19.38,234,4.4,56,73%,8%,10%,4%,4%,6 x 0.53 x 9 inches,11.4 ounces,Spanish,"Independently published (May 2, 2020)",979-8642649534,/Python-para-Principiantes-Programaci%C3%B3n-principiantes/dp/B087SG2H2X/ref=sr_1_53?keywords=python&qid=1671164641&sr=8-53,https://www.amazon.com/Python-para-Principiantes-Programaci%C3%B3n-principiantes/dp/B087SG2H2X/ref=sr_1_53?keywords=python&qid=1671164641&sr=8-53
Quantum Machine Learning and Optimisation in Finance: On the Road to Quantum Advantage,"[ Antoine Jacquier, Oleksiy Kondratyev, et al.]",49.99, 36.00 - 49.99 ,442,4.9,14,90%,10%,,,,7.5 x 1 x 9.25 inches,1.67 pounds,English,"Packt Publishing (October 31, 2022)", ,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0112114AAL7F70PN39A&qualifier=1671164641&id=635941087458057&widgetName=sp_mtf&url=%2FQuantum-Machine-Learning-Optimisation-Finance%2Fdp%2F1801813574%2Fref%3Dsr_1_30_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1671164641%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-30-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0112114AAL7F70PN39A&qualifier=1671164641&id=635941087458057&widgetName=sp_mtf&url=%2FQuantum-Machine-Learning-Optimisation-Finance%2Fdp%2F1801813574%2Fref%3Dsr_1_30_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1671164641%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-30-spons%26psc%3D1
Python Tricks: A Buffet of Awesome Python Features,[ Dan Bader],29.99,29.99,301,4.7,"1,330",76%,17%,5%,1%,1%,6 x 0.68 x 9 inches,14.3 ounces,English,"Dan Bader; 1st edition (October 25, 2017)",978-1775093305,/Python-Tricks-Buffet-Awesome-Features/dp/1775093301/ref=sr_1_56?keywords=python&qid=1671164641&sr=8-56,https://www.amazon.com/Python-Tricks-Buffet-Awesome-Features/dp/1775093301/ref=sr_1_56?keywords=python&qid=1671164641&sr=8-56
Think Bayes: Bayesian Statistics in Python (O'reilly),[ Allen B. Downey],24.2,24.2,338,4.5,55,76%,8%,10%,3%,3%,7 x 0.75 x 9 inches,1.19 pounds,English,"O'Reilly Media; 2nd edition (June 8, 2021)",978-1492089469,/Think-Bayes-Bayesian-Statistics-Python/dp/149208946X/ref=sr_1_55?keywords=python&qid=1671164641&sr=8-55,https://www.amazon.com/Think-Bayes-Bayesian-Statistics-Python/dp/149208946X/ref=sr_1_55?keywords=python&qid=1671164641&sr=8-55
Monty Python and the Holy Grail (Special Edition),,9.99,9.99,,4.7,"10,103",85%,8%,3%,1%,2%,7.5 x 5.5 x 0.5 inches; 3.2 Ounces,,"Unqualified, Japanese (Dolby Digital 2.0 Mono), English (Dolby Digital 5.1), English (Dolby Digital 2.0 Mono)",,,/Monty-Python-Holy-Grail-Special/dp/B00005O3VC/ref=sr_1_57?keywords=python&qid=1671164641&sr=8-57,https://www.amazon.com/Monty-Python-Holy-Grail-Special/dp/B00005O3VC/ref=sr_1_57?keywords=python&qid=1671164641&sr=8-57
Python Data Science Handbook: Essential Tools for Working with Data,[ Jake VanderPlas],68.59,68.59,550,,,,,,,,7 x 1.19 x 9.19 inches,2.04 pounds,English,"O'Reilly Media; 2nd edition (January 31, 2023)",978-1098121228,/Python-Data-Science-Handbook-Essential/dp/1098121228/ref=sr_1_52?keywords=python&qid=1671164641&sr=8-52,https://www.amazon.com/Python-Data-Science-Handbook-Essential/dp/1098121228/ref=sr_1_52?keywords=python&qid=1671164641&sr=8-52
